condition,support,n_raw,n_parsed,n_parse_fail,tv,test_stat,test_p,support_K,coverage,coverage_frac,top_values_counts,empirical_dist,mean,std,min,max,n_in_support,p_first_cat,binom_ci_lo,binom_ci_hi
R1_int_1_100,discrete_int,200,200,0,0.8900000000000001,11971.0,0.0,100.0,15.0,0.15,"[(42, 155), (57, 13), (67, 9), (72, 5), (73, 4), (37, 3), (43, 3), (47, 1), (53, 1), (54, 1)]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015, 0.0, 0.0, 0.0, 0.0, 0.775, 0.015, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.005, 0.0, 0.0, 0.065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0.0, 0.045, 0.005, 0.0, 0.0, 0.0, 0.025, 0.02, 0.005, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,,
R2_int_1_10,discrete_int,200,200,0,0.8700000000000001,1682.6999999999998,0.0,10.0,4.0,0.4,"[(7, 194), (4, 4), (5, 1), (6, 1), (1, 0), (2, 0), (3, 0), (8, 0), (9, 0), (10, 0)]","[0.0, 0.0, 0.0, 0.02, 0.005, 0.005, 0.97, 0.0, 0.0, 0.0]",,,,,,,,
R3_float_unif,continuous,200,200,0,0.635,0.3695,5.281156381975286e-25,,,,,,0.551949406605,0.10800943391414283,0.2735,0.7634,200.0,,,
R4_coin,categorical,200,199,1,0.35427135678391963,0.35427135678391963,1.8390609902119348e-25,2.0,2.0,1.0,,"[0.8542713567839196, 0.1457286432160804]",,,,,,0.8542713567839196,0.7974599351703595,0.9001805833799859
R5_letter,categorical,200,200,0,0.6642307692307694,1182.94,7.539763737683478e-234,26.0,16.0,0.6153846153846154,"[('G', 93), ('K', 35), ('M', 19), ('Q', 12), ('R', 11), ('T', 9), ('F', 4), ('H', 4), ('L', 3), ('J', 2)]","[0.0, 0.005, 0.0, 0.005, 0.0, 0.02, 0.465, 0.02, 0.0, 0.01, 0.175, 0.015, 0.095, 0.0, 0.0, 0.0, 0.06, 0.055, 0.01, 0.045, 0.0, 0.005, 0.005, 0.01, 0.0, 0.0]",,,,,,,,
