test,p_empirical,tv_to_target,p_mode
T1_binary_0.7_0.3,"[1.0, 0.0]",0.30000000000000004,1.0
T2_3way_skew,"[0.98, 0.015, 0.005]",0.48,0.98
T3_bimodal,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5,1.0
T4_5way_skew,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.6,1.0
T5_mixture_4_5,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.30000000000000004,1.0
T6_point_5,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.0,1.0
