item,pipeline,chi2,p,cramers_v
AGEMAJ_W41,baseline,11.589041475548413,0.008932081767240346,0.3404268126271551
AGEMAJ_W41,ppa,5.412143840301989,0.14398884558264963,0.23264014787439397
CLASS_W32,baseline,6.889363563836632,0.14185164718488757,0.26247597154476127
CLASS_W32,ppa,13.31931840105064,0.009816489467586993,0.3649564138503479
COMMYRS_W32,baseline,3.0705178246161857,0.3808799893228462,0.17522893096221828
COMMYRS_W32,ppa,9.524271441043195,0.023074549979012086,0.30861418374798
FAMNEAR_W32,baseline,0.0,1.0,0.0
FAMNEAR_W32,ppa,1.1458303371790073,0.28442371018015267,0.10704346487193915
GAP21Q15_a_W82,baseline,7.754495672753029,0.005357900107707338,0.2784689511014294
GAP21Q15_a_W82,ppa,28.58904545842674,6.193949458367467e-07,0.5346872493189522
GAP21Q15_b_W82,baseline,38.448763979672165,5.621017043941475e-10,0.6200706732274327
GAP21Q15_b_W82,ppa,27.979445819368678,1.2593143198195107e-05,0.5289560078056461
GAP21Q15_c_W82,baseline,0.05137546121152677,0.8206869225345835,0.0226661556536451
GAP21Q15_c_W82,ppa,39.47844925146312,1.3743398100732317e-08,0.6283187825575733
GAP21Q15_d_W82,ppa,4.6500181430824545,0.031053219242775983,0.21563900721071905
GAP21Q15_e_W82,baseline,9.436326022632677,0.0021272922200897683,0.30718603520721244
GAP21Q15_e_W82,ppa,12.218188406018356,0.0022225630922632533,0.34954525323652097
GAP21Q15_f_W82,ppa,9.116146882234478,0.010482234144132055,0.3019295759317805
MADEUPSMCLICK_W45,baseline,0.16813787305590588,0.6817720689384029,0.04100461840523649
MADEUPSMCLICK_W45,ppa,4.071179384583433,0.3964584682250377,0.20177163786279362
NEIGHINTERA_W32,baseline,1.893763412313887,0.38794887785051996,0.13761407676229517
NEIGHINTERA_W32,ppa,6.6113000539230065,0.15791128247291503,0.2571244845191334
NEIGHINTERB_W32,baseline,1.8432323807848017,0.6055725754720873,0.1357656945176064
NEIGHINTERB_W32,ppa,3.308164199660444,0.3465079556465167,0.1818835946329532
NEIGHINTERC_W32,baseline,5.422446406052963,0.1433514687030859,0.23286146967785296
NEIGHINTERC_W32,ppa,6.628435316959909,0.15687567633550217,0.2574574783718645
NEIGHINTERD_W32,baseline,1.2210846227239678,0.2691478993682037,0.11050269782787965
NEIGHINTERD_W32,ppa,0.01972071644202797,0.8883198861021089,0.01404304683536588
NEIGHSAMEA_W32,baseline,11.7512050116786,0.008285886716117019,0.3428003064712545
NEIGHSAMEA_W32,ppa,59.05114147179023,9.374281629090512e-13,0.7684474053036436
NEIGHSAMEB_W32,baseline,4.415370603895194,0.10995486649840791,0.21012783261374954
NEIGHSAMEB_W32,ppa,2.3314269215908565,0.5065270923817018,0.15269010844160327
NEIGHSAMEC_W32,baseline,2.0997217718529186,0.3499864337632015,0.14490416736080847
NEIGHSAMEC_W32,ppa,6.6850177647238125,0.0353481619989994,0.25855401301708336
NEWSPREFV2_W45,baseline,7.715701143943883,0.05226765328167387,0.2777715094091524
