item,pew_gap,baseline_gap,ppa_gap
GAP21Q15_a_W82,0.7616592344853212,0.2744850777637664,0.5481294661622531
GAP21Q15_b_W82,-0.2089662443168825,0.6380832282471625,0.9760403530895334
GAP21Q15_c_W82,0.5085613249643508,0.025641025641025772,1.2416981925178652
GAP21Q15_d_W82,0.281428375340564,0.0,0.14754098360655732
GAP21Q15_e_W82,0.09201995977100452,0.24590163934426235,0.5325767129045818
GAP21Q15_f_W82,-0.3422393942941886,0.0,0.3215636822194199
MADEUPSMCLICK_W45,0.05253987298724594,-0.032786885245901676,-0.21185372005044112
NEWSPREFV2_W45,0.06525924194936694,0.6923076923076925,0.7822614543926019
PWMAN2_W49,0.11227727075184735,1.9113072719630102,1.599831862126944
RESTRICTWHO_W45,-0.5246928032237927,-0.06977721731820097,-0.118116855821774
ROMRELDUR_W50,0.04959500115713933,-0.2244640605296344,0.154686843211433
SMSHARE_W45,-0.09076294511480887,0.0,-0.009247583018074712
SOCIETY_JBCLL_W92,-0.04264475743348939,-0.6633039092055484,-0.2501050861706595
SOCIETY_RHIST_W92,-1.6586522662035583,-1.0256410256410255,-1.3425809163514082
SOCIETY_WHT_W92,-0.6544436886835316,-1.9411517444304327,-2.4497688104245485
TRACKCO1a_W49,0.03803812436992815,-0.42875157629256,-0.5098781000420338
TRACKCO1b_W49,0.034333198332887616,-0.06557377049180291,-0.08995376208490935
TRACKGOV1a_W49,-0.017150408616465107,-0.28583438419503926,-0.10130306851618398
TRACKGOV1b_W49,0.014721494660819623,-0.0512820512820511,-0.27154266498528834
USMILSIZ_W92,-0.9019628371739143,-1.5048339638503574,-1.796973518284994
WORRY2a_W54,-0.32412100828704604,-0.478772593526692,-0.7746952501050859
WORRY2b_W54,-0.2891356249815038,-0.6607818411097099,-1.0428751576292568
WORRY2c_W54,-0.28961509547923914,-0.6893652795292144,-0.5641025641025639
WORRY2d_W54,-0.2627477465680057,-0.4434636401849521,-0.5825977301387137
WORRY2e_W54,-0.2500936616632554,-0.5914249684741488,-0.6221101303068513
