item_key,baseline_tv,ppa_tv,describe_tv,vs_tv,domain,pew_entropy,entropy_bucket,source
SOCIETY_TRANS_W92,0.3092094861660078,0.3901778656126481,0.0983201581027668,0.1538537549407114,VALUES,0.9817487055198236,HI_ENT,E6_50
SOCIETY_RELG_W92,0.3715256245679865,0.2885583094697344,0.082038115927718,0.1985583094697344,VALUES,0.9374096029617698,HI_ENT,E6_50
SOCIETY_GUNS_W92,0.524029484029484,0.444029484029484,0.1116707616707616,0.157076167076167,VALUES,0.9288714361594976,HI_ENT,E6_50
SOCIETY_SSM_W92,0.5000857058417889,0.4464023248940991,0.216402324894099,0.216402324894099,VALUES,0.9413975263762504,HI_ENT,E6_50
LEGALIMMIGAMT_W92,0.4644255744255744,0.3144255744255744,0.1475524475524476,0.1475524475524476,VALUES,0.8954820302260449,HI_ENT,E6_50
ETHNCMAJMOD_W41,0.4210862619808306,0.4270447284345048,0.1721246006389776,0.2510383386581469,VALUES,0.902579450393459,HI_ENT,E6_50
INTRMAR_W41,0.3907655502392344,0.4207655502392344,0.241786283891547,0.3417862838915471,VALUES,0.846769645269103,LO_ENT,E6_50
RACESURV5b_W43,0.677633262260128,0.4476332622601279,0.0974718245507158,0.2438927809929942,VALUES,0.9062148486207112,HI_ENT,E6_50
ECON5_d_W54,0.4373826291079812,0.3250704225352112,0.2866784037558685,0.2626173708920188,FACTS,0.837677141460286,LO_ENT,E6_50
ECON5_b_W54,0.2972502937720329,0.3147121034077556,0.4707990599294948,0.4707990599294948,FACTS,0.7465292230497357,LO_ENT,E6_50
EAT1_W34,0.5755766192733017,0.3655766192733017,0.2640600315955766,0.2140600315955766,FACTS,0.8322097274819258,LO_ENT,E6_50
EAT2_W34,0.6238735177865612,0.4138735177865613,0.1719367588932806,0.1719367588932806,FACTS,0.8795797615239471,LO_ENT,E6_50
PP1_W49,0.6820948802254581,0.1940582433067167,0.3701033348990136,0.2201033348990136,FACTS,0.888037860189127,LO_ENT,E6_50
CAREREL_W27,0.5217264791464598,0.4017264791464598,0.1289039767216294,0.1289039767216294,FACTS,0.9174688557453908,HI_ENT,E6_50
CARS4_W27,0.4014050387596899,0.3514050387596898,0.2485949612403101,0.1985949612403101,VALUES,0.7125298591556447,LO_ENT,E6_50
COHABDUR_W50,0.4434398034398035,0.3856511056511056,0.1443488943488943,0.1443488943488943,FACTS,0.9922674090560692,HI_ENT,E6_50
ECON5_a_W54,0.4749692172383465,0.4149692172383465,0.1450307827616534,0.1450307827616534,VALUES,0.9526848767968992,HI_ENT,E6_50
ECON5_c_W54,0.4712283787745528,0.621228378774553,0.2103781882145998,0.3103781882145998,VALUES,0.9215528550778718,HI_ENT,E6_50
ECON5_e_W54,0.368575624082232,0.4605139500734215,0.1543318649045521,0.3314243759177679,VALUES,0.9155859748874028,HI_ENT,E6_50
ECON5_f_W54,0.5098175397292525,0.5798175397292525,0.1206592113007651,0.3206592113007651,VALUES,0.9305846011093288,HI_ENT,E6_50
ECON5_g_W54,0.7116656822209095,0.5716656822209096,0.0809509746012994,0.0809509746012994,VALUES,0.9460655979928682,HI_ENT,E6_50
ECON5_h_W54,0.4819952774498229,0.3607792207792207,0.1680047225501771,0.218004722550177,VALUES,0.9780087498397604,HI_ENT,E6_50
ECON5_i_W54,0.6536428149024246,0.3805913660555884,0.1994086339444115,0.1994086339444115,VALUES,0.9837695830048342,HI_ENT,E6_50
ECON5_j_W54,0.3669508967950603,0.4745074977947662,0.1724198765069096,0.3330491032049396,VALUES,0.926167990268708,HI_ENT,E6_50
ECON5_k_W54,0.5337758112094395,0.3929498525073746,0.1529498525073746,0.1415929203539823,VALUES,0.9452987236699494,HI_ENT,E6_50
FAMSURV17_W50,0.2192821587634268,0.1792821587634267,0.2611082001571915,0.2508121561435682,VALUES,0.7738320668407188,LO_ENT,E6_50
IMPREASONGUN_W26,0.4990583804143126,0.4990583804143126,0.0645951035781544,0.0586629001883239,VALUES,0.7814533855688331,LO_ENT,E6_50
INDUSTRY_W27,0.124486301369863,0.214486301369863,0.2688356164383562,0.2619863013698629,FACTS,0.9488693898600896,HI_ENT,E6_50
MARRDUR_W50,0.1894691647150663,0.2526908428547773,0.3205308352849336,0.3205308352849336,FACTS,0.8414301609427842,LO_ENT,E6_50
ORIENTATIONMOD_W50,0.0901011339258351,0.060101133925835,0.0598988660741649,0.2144274185310042,VALUES,0.2606249815651526,LO_ENT,E6_50
RACESURV18a_W43,0.2589749430523917,0.1898101746393318,0.2249430523917995,0.2241078208048595,VALUES,0.8243947107841948,LO_ENT,E6_50
RACESURV18b_W43,0.6897262773722628,0.5497262773722627,0.320316301703163,0.320316301703163,VALUES,0.8456347424461519,LO_ENT,E6_50
RACESURV18c_W43,0.6127316924946824,0.4201914311759344,0.2339562443026435,0.2339562443026435,VALUES,0.8024150682750912,LO_ENT,E6_50
RACESURV18d_W43,0.4236323551771324,0.26784400182454,0.2663676448228675,0.2903071309107496,VALUES,0.7438904905869392,LO_ENT,E6_50
RACESURV18e_W43,0.527380410022779,0.3307137433561123,0.3450645406226272,0.3450645406226272,VALUES,0.8361306074074484,LO_ENT,E6_50
RACESURV18f_W43,0.6132699619771863,0.4832699619771863,0.4309885931558935,0.3809885931558935,VALUES,0.7838807215360456,LO_ENT,E6_50
