domain,entropy,n,mean_baseline_tv,mean_ppa_tv,mean_delta,wilcoxon_p_one_sided
FACTS,HI_ENT,15,0.4205990960662714,0.31638149135149984,-0.1042176047147715,0.00213623046875
FACTS,LO_ENT,21,0.480391332840797,0.32499289054196623,-0.1553984422988309,0.0003604888916015625
VALUES,HI_ENT,27,0.504033638563926,0.4477358207157306,-0.056297817848195424,0.007122925984346897
VALUES,LO_ENT,37,0.42952022667094364,0.3369994212527793,-0.09252080541816446,0.00013106606635992756
